Name,Interview Date,Interviewer,Key Themes,Paid v. Organic,Primary Persona,Raw Transcript,User Description
"Jan 27 - Anxiety, behavior-focused","January 27, 2026",Clare Flanagan,"Pacing feedback, Wants expertise",Paid,Psych Genius,,"Tremendous anxiety lately. Husband is a clinical social worker. Found Ash through Facebook. Wanted behavior-focused approach, not emotional deep-dives. Has lots of friends already."
60 y/o in Texas - Ash is her entire support system,"February 25, 2026",Andrew Frawley,"Been to therapy, Meta Ad",Paid,N/A,,"Deena is a 60-year-old woman in Katy, TX with no family support system. After 15 years on anxiety meds she didn't need (it was menopause), she found Ash via a Facebook ad during a personal crisis. Ash is her primary emotional lifeline — she credits it with keeping her alive."
"Feb 24 - Romance author, CPTSD, augmented journaling","February 24, 2026",Clare Flanagan,"Comparison to therapy, Pacing feedback, Prefers directness, Relational bonding with AI, Wants expertise",Paid,The Scholar,,"Male romance author splitting time between NYC and London, dealing with visa stress and long-distance relationship with his husband. Has CPTSD and uses Ash 5-7x/week alongside in-person EMDR therapy to process session topics and daily emotions."
47 y/o dad - Ash delivers what 3 therapists couldn't,"February 24, 2026",Andrew Frawley,"Been to therapy, Meta Ad",Paid,N/A,,"Chris is a 47-year-old married father of a 3-year-old in Pennsylvania. After three failed therapy experiences, he found Ash through a Facebook ad and was blown away. He uses it daily as an all-purpose sounding board — mental health, family stress, finances — and calls it everything he wanted from therapy."
"Jan 27 - 69yo, AI journal framing","January 27, 2026",Clare Flanagan,"AI skeptic converted, Comparison to therapy, Warmth/gentleness",Paid,Classic Ash,,69 years old. Saw Instagram ad. Initially skeptical of AI but now describes Ash as 'prompted journaling with wonderful feedback.' Processing difficult divorce and childhood issues.
"Feb 23 - Psychotherapist, power user, depth-seeker","February 23, 2026",Clare Flanagan,"Comparison to therapy, Pacing feedback, UX copy feedback, Voice/audio feedback, Wants expertise, Warmth/gentleness",Paid,The Scholar,,"Female, likely 40-50, practicing psychotherapist who discovered Ash via NYT articles on AI in mental health. Has been ""very impressed"" and recommends it to select clients as a between-session support tool."
"Feb 19 - Multi-condition support, Bestie persona","February 19, 2026",Clare Flanagan,"Comparison to therapy, Relational bonding with AI, UX copy feedback, Voice/audio feedback, Warmth/gentleness",Paid,Bestie,,"Woman living in a 17-foot camper with her husband, managing multiple overlapping conditions including ADHD, bipolar with psychosis, panic disorder, memory problems, and insomnia. Uses Ash daily for grounding and emotional regulation; her therapist and husband have both noticed its positive impact."
"Feb 16 - Trauma survivor, nightly support & pre-therapy prep","February 16, 2026",Clare Flanagan,"Comparison to therapy, Crisis support, Pre-therapy preparation, Wants expertise, Weekly insights praise",Paid,The Scholar,,Woman recovering from abusive relationship and subsequent trauma after ex's suicide. Uses Ash nightly for emotional support while searching for therapist. Plans to bring Ash transcripts to future therapy sessions. Found Ash during holiday period when therapists unavailable.
"Feb 16 - Practicing therapist, uses for clients & supervision","February 16, 2026",Clare Flanagan,"Clinical use case, Comparison to therapy, Relational bonding with AI, Wants expertise, Warmth/gentleness",Paid,Coach,,Practicing therapist who uses Ash personally and recommends it to clients as between-session support. Uses Ash to get clinical supervision on challenging cases and to explore her own relationship issues. Focuses on relational therapy and somatics.
Jan 27 - Mom caring for son with medical needs,"January 27, 2026",Clare Flanagan,"Pacing feedback, Prefers directness",Paid,The Real One,,"Mother who moved for son's medical care. Struggled to find social support in new location. Late 30s/early 40s. Looking for counseling app, not companionship."
